*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: CH3COOH
* Name: Acetic acid
* Edge: C 1s
* Alpha Formula: C2H4O2
* Data Source: Hitchcock
* Filename:  ai-0cckk.os
* Ref. Code: RI&88
* Write Date: 93/06/10
* Reference: J. El. Spec. 47 (88) 53.
* Source and Purity: N/A
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0aic.    name2- 0aic.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
   309.9500       48788.40       .8557208    
   310.0900       48357.90       .8491727    
   310.2300       48440.00       .8515159    
   310.3690       48106.60       .8466308    
   310.5090       48195.10       .8490826    
   310.6490       48300.60       .8518369    
   310.7890       47387.00       .8368167    
   310.9290       47759.60       .8442272    
   311.0690       47325.80       .8375508    
   311.2080       47624.20       .8436688    
   311.3480       47148.50       .8362467    
   311.4880       46944.10       .8335596    
   311.6280       47650.40       .8468529    
   311.7680       47442.40       .8441116    
   311.9080       46566.90       .8296260    
   312.0470       47056.30       .8391239    
   312.1870       46581.20       .8316546    
   312.3270       45600.60       .8152514    
   312.4670       45847.50       .8204910    
   312.6070       46200.70       .8276104    
   312.7470       46516.60       .8340935    
   312.8860       45950.40       .8249545    
   313.0260       46310.80       .8322271    
   313.1660       46534.60       .8370941    
   313.3060       46076.60       .8298571    
   313.4460       45638.50       .8229574    
   313.5860       44139.20       .7971490    
   313.7250       45691.10       .8256532    
   313.8650       45320.20       .8199238    
   314.0050       44343.40       .8033628    
   314.1450       45915.60       .8323224    
   314.2850       45309.80       .8223779    
   314.4250       44158.60       .8026426    
   314.5640       45464.60       .8269045    
   314.7040       45433.20       .8272280    
   314.8440       44003.10       .8024248    
   314.9840       44806.90       .8177363    
   315.1240       43889.60       .8021026    
   315.2640       44196.10       .8084863    
   315.4030       44655.00       .8176186    
   315.5430       43589.80       .7992670    
   315.6830       43903.30       .8057818    
   315.8230       43422.50       .7979513    
   315.9630       44805.60       .8238481    
   316.1030       44126.60       .8124175    
   316.2420       43606.40       .8038399    
   316.3820       43162.00       .7966287    
   316.5220       43120.80       .7967330    
   316.6620       43595.20       .8062147    
   316.8020       43463.60       .8046812    
   316.9420       42742.00       .7923815    
   317.0810       43757.80       .8117617    
   317.2210       43021.30       .7991690    
   317.3610       42633.30       .7929246    
   317.5010       43567.10       .8108671    
   317.6410       42037.70       .7837065    
   317.7810       42660.30       .7959631    
   317.9200       42025.30       .7851434    
   318.0600       41824.40       .7822894    
   318.2000       42626.90       .7978877    
   318.3400       42636.80       .7989174    
   318.4800       42224.80       .7921724    
   318.6200       42445.10       .7970830    
   318.7590       42144.80       .7923754    
   318.8990       41660.90       .7842721    
   319.0390       41944.60       .7903550    
   319.1790       41181.30       .7770534    
   319.3190       41203.80       .7782994    
   319.4580       41695.70       .7882548    
   319.5980       42174.10       .7979819    
   319.7380       41938.90       .7944505    
   319.8780       40482.70       .7681811    
   320.0180       41109.80       .7806888    
   320.1580       41110.60       .7815330    
   320.2970       40310.00       .7674004    
   320.4370       40065.20       .7636430    
   320.5770       40853.20       .7792009    
   320.7170       40779.00       .7786363    
   320.8570       40818.30       .7801964    
   320.9970       40473.40       .7745529    
   321.1360       40658.20       .7788395    
   321.2760       40362.40       .7741021    
   321.4160       40964.40       .7862536    
   321.5560       39833.70       .7657804    
   321.6960       40660.90       .7821961    
   321.8360       40239.00       .7750547    
   321.9750       40116.70       .7735603    
   322.1150       39854.70       .7694212    
   322.2550       39839.20       .7699419    
   322.3950       39519.30       .7646903    
   322.5350       39105.80       .7576563    
   322.6750       39838.90       .7723823    
   322.8140       38646.10       .7505118    
   322.9540       39383.40       .7653407    
   323.0940       39521.60       .7687830    
   323.2340       38937.30       .7584544    
   323.3740       39179.60       .7638788    
   323.5140       39047.70       .7621640    
   323.6530       39581.90       .7731847    
   323.7930       38685.80       .7568398    
   323.9330       38185.20       .7480489    
   324.0730       38481.70       .7545238    
   324.2130       38792.80       .7612977    
   324.3530       38750.00       .7612741    
   324.4920       38670.90       .7605529    
   324.6320       38110.40       .7505589    
   324.7720       39247.60       .7732727    
   324.9120       38306.20       .7559180    
   325.0520       37570.00       .7424966    
   325.1920       38200.70       .7554754    
   325.3310       38443.70       .7609683    
   325.4710       37858.60       .7504297    
   325.6110       38218.00       .7581906    
   325.7510       38043.00       .7555918    
