# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                C
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     286.1819
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              11035.0802344
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -8.364 -1.499
# Athena.pre_edge_line:          4248.942429 - 7.2978 * E
# Athena.normalization_range:    21.451 37.864
# Athena.post_edge_polynomial:   61847.451050 - 170.004 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 38.795
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 3.191
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                1.191 3.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        flat        fbkg        nder        nsec
  288.65820       0.56911965       0.60563123      -0.15761336      -0.19796113        1.5466234
  288.72510       0.54428415       0.58178212      -0.15658272      -0.95517882E-01  -0.17681256
  288.79200       0.55633936       0.59482374      -0.15555208      -0.22161865      -0.95718999
  288.85890       0.51463157       0.55410235      -0.15452143      -0.22358990        2.8722543
  288.92590       0.52640067       0.56685932      -0.15348925       0.16297619        3.8296405
  288.99280       0.53645409       0.57789914      -0.15245861       0.28919896      -0.94940130E-01
  289.05970       0.56509549       0.60752694      -0.15142796       0.15027320       -2.1564845
  289.12660       0.55656064       0.59997849      -0.15039732       0.66132721E-03   0.68501752
  289.19360       0.56518404       0.60958977      -0.14936514       0.24199705        1.6600548
  289.26050       0.58896405       0.63435617      -0.14833449       0.22294266       -2.4746123
  289.32740       0.59501377       0.64139230      -0.14730385      -0.89106070E-01   -1.3420532
  289.39430       0.57704165       0.62440658      -0.14627320       0.43375944E-01    1.7869172
  289.46130       0.60082181       0.64917462      -0.14524102       0.15016215       -1.8034767
  289.52820       0.59714836       0.64648757      -0.14421038      -0.19810958       -3.3536964
  289.59510       0.57431475       0.62464036      -0.14317973      -0.29856243       0.59171401
  289.66200       0.55720071       0.60851272      -0.14214909      -0.11893825        1.7242746
  289.72900       0.55838892       0.61068880      -0.14111691      -0.67682060E-01   0.65376520
  289.79590       0.54813808       0.60142437      -0.14008626      -0.31399087E-01   0.54273320
  289.86280       0.55418772       0.60846041      -0.13905562       0.49356427E-02    1.4527300
  289.92970       0.54879847       0.60405756      -0.13802497       0.16297619        1.8980428
  289.99670       0.57601023       0.63225719      -0.13699279       0.25908357       0.94258345
  290.06360       0.58348976       0.64072313      -0.13596215       0.28918812        1.5107306
  290.13050       0.61470360       0.67292337      -0.13493150       0.46121933       0.88283961
  290.19740       0.64520091       0.70440707      -0.13390086       0.40731206      -0.41584593
  290.26440       0.66924269       0.72943673      -0.13286868       0.40553756       0.98200443
  290.33130       0.69950239       0.76068283      -0.13183803       0.53880245      -0.10485804
  290.39820       0.74133446       0.80350130      -0.13080739       0.39150755       -2.0014710
  290.46510       0.75188610       0.81503934      -0.12977674       0.27100563       0.19821402
  290.53210       0.77762211       0.84176323      -0.12874456       0.41804841      -0.64044067E-01
