# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                N
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     400
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.0002820
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -20.206 -1.606
# Athena.pre_edge_line:          0.002421 - 4.14502e-006 * E
# Athena.normalization_range:    19.827 50.632
# Athena.post_edge_polynomial:   0.003208 - 5.40903e-006 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 185.624
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 6.980
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 4.980
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        nbkg        flat        fbkg        nder        nsec
  405.54961        1.1837157        1.3272234        1.2085761        1.3521787       0.45740426      -0.90395790
  405.65654        1.2721209        1.3412138        1.2974534        1.3666484       0.70564072E-01   -2.9678218
  405.77002        1.1992688        1.3552873        1.2251158        1.3812305      -0.19673364        1.6686670
  405.87461        1.2292199        1.3675665        1.2555333        1.3939786       0.43444429        4.0749421
  405.98809        1.2940065        1.3801522        1.3208234        1.4070728       0.69187432      -0.79960547E-01
  406.08584        1.3753647        1.3903903        1.4026133        1.4177491       0.41755419       -2.4201018
  406.19941        1.3822475        1.4015968        1.4100045        1.4294648       0.18043857       -2.9724637
  406.29590        1.4132674        1.4105465        1.4414545        1.4388469      -0.20683738       -2.0655903
  406.40068        1.3406174        1.4196836        1.3692800        1.4484537      -0.23530175        2.5661796
  406.49502        1.3664139        1.4274003        1.3954972        1.4565932       0.30414312        3.2935924
  406.59834        1.4007332        1.4353088        1.4302769        1.4649648       0.41569720        1.5015699
  406.68242        1.4443165        1.4413333        1.4742336        1.4713662       0.58554092      -0.92798040
  406.78682        1.5110939        1.4483092        1.5414736        1.4788100       0.24079461       -5.3197616
  406.87217        1.4900064        1.4536054        1.5207703        1.4844888      -0.42386309       -2.0668319
  406.97666        1.4306262        1.4596005        1.4618632        1.4909523      -0.15158061        5.2278552
  407.06416        1.4609041        1.4642147        1.4925309        1.4959587       0.57984433       0.76486478
  407.15850        1.5360627        1.4687833        1.5681063        1.5009501      -0.12500732E-01   -4.3513880
  407.23809        1.4587299        1.4723161        1.4911365        1.5048397      -0.17697387       -5.6178314
  407.33232        1.5052996        1.4761263        1.5381249        1.5090722      -0.98903770       -2.6964825
  407.41973        1.2790804        1.4793056        1.3123155        1.5126433      -0.66676484        11.550171
  407.50840        1.3878995        1.4821898        1.4215234        1.5159250        1.0446494        6.7930355
  407.59502        1.4622000        1.4846822        1.4962062        1.5188056       0.52400604       -7.9405952
  407.69033        1.4832339        1.4870614        1.5176656        1.5216121      -0.40001167       -5.3016048
  407.77900        1.3886041        1.4889407        1.4234409        1.5238888      -0.45140654        2.3912832
  407.90176        1.3877949        1.4910243        1.4231819        1.5265226       0.10556730        1.6744188
  408.00049        1.4119856        1.4922752        1.4478133        1.5282161      -0.80548885E-01   -1.9238030
  408.12314        1.3699624        1.4933177        1.4063432        1.5298084      -0.32033711      -0.93889835
  408.23008        1.3384395        1.4937778        1.3753021        1.5307479      -0.29611037       0.43832414
  408.35176        1.3022676        1.4938097        1.3396786        1.5313251      -0.22013038       0.60712564
  408.44717        1.2906514        1.4934800        1.3284909        1.5314231      -0.16430952        3.2046624
  408.55635        1.2686516        1.4927327        1.3069823        1.5311652       0.43551118        2.1349552
  408.65400        1.3807307        1.4917402        1.4194902        1.5306104       0.27727585       -1.6017633
  408.76309        1.3259751        1.4902819        1.3652279        1.5296410       0.10436553       -3.1863805
  408.85635        1.4018484        1.4887521        1.4415132        1.5285292      -0.36746848       -3.7659668
