*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: CH2CN
* Name: Acetonitrile
* Edge: N 1s
* Alpha Formula: C2H3N
* Data Source: Hitchcock
* Filename:  an-0nnkk.os
* Ref. Code: HTM89
* Write Date: 93/06/10
* Reference: J. Phys. Chem. 93 (89) 3068.
* Source and Purity: N/A
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0ann.     name2- 0ann.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
   432.2320       23673.10       .5178215    
   432.4400       23669.50       .5442994    
   432.6490       23607.40       .5524929    
   432.8570       23364.80       .5425174    
   433.0660       23057.30       .5226867    
   433.2750       22980.50       .5397210    
   433.4830       22999.20       .5296019    
   433.6920       22899.70       .5361665    
   433.9000       22796.60       .5358155    
   434.1090       22741.50       .5148033    
   434.3180       22652.00       .5129849    
   434.5260       22408.60       .5210543    
   434.7350       22799.80       .5220590    
   434.9430       21847.40       .4944657    
   435.1520       22446.50       .5065095    
   435.3600       21948.40       .4934966    
   435.5690       22047.00       .4868080    
   435.7780       21980.10       .4834856    
   435.9860       22221.80       .5249536    
   436.1950       22217.70       .5355407    
   436.4030       21995.60       .5274916    
   436.6120       22499.00       .5471396    
   436.8210       22125.70       .5540009    
   437.0290       21412.50       .4913239    
   437.2380       21432.30       .4801997    
   437.4460       21446.90       .4938917    
   437.6550       21670.00       .5150213    
   437.8630       21432.60       .5129612    
   438.0720       21846.50       .5361599    
   438.2810       21559.10       .5358468    
   438.4890       21206.20       .5018600    
   438.6980       21376.80       .5133980    
   438.9060       21402.60       .5136883    
   439.1150       21060.30       .5073320    
   439.3240       21059.80       .5269190    
   439.5320       21141.10       .5160887    
   439.7410       21003.30       .5106106    
   439.9490       20781.70       .4956049    
   440.1580       21123.90       .5264313    
   440.3670       20706.20       .5044420    
   440.5750       20832.80       .4871616    
   440.7840       20538.00       .4833669    
   440.9920       20526.50       .4837868    
   441.2010       20850.70       .5145283    
   441.4100       20411.20       .5077623    
   441.6180       20258.60       .4798358    
   441.8270       20155.50       .4684888    
   442.0350       20413.80       .4976159    
   442.2440       20303.50       .4718919    
   442.4530       20318.30       .4138080    
