*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: CH2CN
* Name: Acetonitrile
* Edge: C 1s
* Alpha Formula: C2H3N
* Data Source: Hitchcock
* Filename:  an-0cckk.os
* Ref. Code: HTM89
* Write Date: 93/06/10
* Reference: J. Phys. Chem. 93 (89) 3068.
* Source and Purity: N/A
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0anc4    name2- 0anc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
   314.5570       48112.00       .9780771    
   314.6840       48137.00       .9800299    
   314.8110       47578.00       .9688242    
   314.9380       47529.00       .9690966    
   315.0650       46618.00       .9498864    
   315.1920       46557.00       .9498637    
   315.3190       46530.00       .9506122    
   315.4460       46366.00       .9482512    
   315.5730       45789.00       .9364969    
   315.7000       45682.00       .9354023    
   315.8270       45397.00       .9302477    
   315.9540       44971.00       .9218656    
   316.0810       44923.00       .9220886    
   316.2080       44383.00       .9110707    
   316.3350       44679.00       .9191488    
   316.4620       44723.00       .9214723    
   316.5890       44112.00       .9087701    
   316.7160       43584.00       .8979446    
   316.8430       43953.00       .9077176    
   316.9700       43086.00       .8890565    
   317.0960       43252.00       .8941559    
   317.2230       43034.00       .8904046    
   317.3500       43102.00       .8932540    
   317.4770       42742.00       .8862023    
   317.6040       42309.00       .8774443    
   317.7310       42439.00       .8817182    
   317.8580       42295.00       .8796391    
   317.9850       42119.00       .8768083    
   318.1120       41700.00       .8683129    
   318.2390       41715.00       .8699061    
   318.3660       41614.00       .8687938    
   318.4930       41630.00       .8704159    
   318.6200       41112.00       .8595474    
   318.7470       40914.00       .8561440    
   318.8740       40607.00       .8501715    
   319.0010       40674.00       .8529672    
   319.1280       40514.00       .8504316    
   319.2550       40357.00       .8479534    
   319.3820       40247.00       .8465796    
   319.5090       39941.00       .8405749    
   319.6360       39979.00       .8426825    
   319.7630       39587.00       .8346194    
   319.8890       39350.00       .8302068    
   320.0160       39455.00       .8338884    
   320.1430       39419.00       .8342270    
   320.2700       39269.00       .8318616    
   320.3970       39167.00       .8306285    
   320.5240       38783.00       .8226703    
   320.6510       38760.00       .8233073    
   320.7780       38332.00       .8142691    
   320.9050       38411.00       .8173279    
   321.0320       38423.00       .8187876    
   321.1590       38539.00       .8227401    
   321.2860       38157.00       .8147565    
   321.4130       38144.00       .8156114    
   321.5400       37442.00       .7999005    
   321.6670       37866.00       .8112636    
   321.7940       37403.00       .8012624    
   321.9210       37388.00       .8020533    
   322.0480       37387.00       .8031812    
   322.1750       36921.00       .7930544    
   322.3020       37171.00       .8002492    
   322.4290       37313.00       .8048443    
   322.5550       36727.00       .7917647    
   322.6820       36994.00       .7993920    
   322.8090       36943.00       .7992974    
   322.9360       36425.00       .7878163    
   323.0630       36189.00       .7831926    
   323.1900       36191.00       .7843614    
   323.3170       36095.00       .7831436    
   323.4440       36148.00       .7855607    
   323.5710       35714.00       .7760519    
   323.6980       35710.00       .7770644    
   323.8250       35665.00       .7770764    
   323.9520       35534.00       .7749649    
   324.0790       35437.00       .7736890    
   324.2060       35328.00       .7721105    
   324.3330       35665.00       .7815367    
   324.4600       35141.00       .7697067    
   324.5870       35220.00       .7727659    
   324.7140       35190.00       .7731295    
   324.8410       35249.00       .7756989    
   324.9680       34627.00       .7613554    
   325.0950       34980.00       .7712269    
   325.2210       34832.00       .7686408    
   325.3480       34580.00       .7634623    
   325.4750       34987.00       .7747082    
   325.6020       34181.00       .7556757    
   325.7290       34105.00       .7548569    
   325.8560       34002.00       .7533627    
   325.9830       34395.00       .7642958    
   326.1100       34335.00       .7638795    
   326.2370       34052.00       .7578610    
   326.3640       33832.00       .7534091    
   326.4910       33699.00       .7511339    
   326.6180       33619.00       .7501911    
   326.7450       34106.00       .7635611    
   326.8720       33506.00       .7494770    
   326.9990       33679.00       .7549320    
   327.1260       33720.00       .7570437    
   327.2530       33250.00       .7462000    
   327.3800       33551.00       .7549113    
   327.5070       33234.00       .7479259    
   327.6340       33392.00       .7530138    
   327.7610       32800.00       .7389941    
   327.8880       33087.00       .7473797    
   328.0140       32823.00       .7416946    
   328.1410       32872.00       .7440065    
   328.2680       32777.00       .7426301    
   328.3950       32299.00       .7314327    
   328.5220       32440.00       .7360950    
   328.6490       32516.00       .7391015    
   328.7760       32316.00       .7350076    
   328.9030       32213.00       .7333993    
   329.0300       32417.00       .7397121    
   329.1570       31916.00       .7278212    
   329.2840       32205.00       .7363305    
   329.4110       31991.00       .7318433    
   329.5380       32208.00       .7385050    
   329.6650       31914.00       .7319258    
   329.7920       31677.00       .7268100    
   329.9190       31913.00       .7339854    
   330.0460       31687.00       .7291434    
   330.1730       31670.00       .7297377    
   330.3000       31163.00       .7175406    
   330.4270       31430.00       .7255422    
   330.5540       31301.00       .7231978    
   330.6800       31564.00       .7311083    
   330.8070       31510.00       .7307329    
   330.9340       31132.00       .7218431    
   331.0610       31174.00       .7239711    
   331.1880       31142.00       .7241572    
   331.3150       31260.00       .7282913    
   331.4420       30707.00       .7147354    
   331.5690       31057.00       .7249961    
   331.6960       31129.00       .7279279    
   331.8230       31137.00       .7291715    
   331.9500       30778.00       .7206879    
   332.0770       30932.00       .7257956    
   332.2040       30653.00       .7194106    
   332.3310       30269.00       .7102104    
   332.4580       30415.00       .7151078    
   332.5850       30607.00       .7212417    
   332.7120       30554.00       .7208445    
   332.8390       30146.00       .7109613    
   332.9660       30244.00       .7145879    
   333.0930       29976.00       .7084211    
   333.2200       30087.00       .7124041    
   333.3460       29984.00       .7106408    
   333.4730       29817.00       .7071573    
   333.6000       30295.00       .7210181    
   333.7270       30035.00       .7150303    
   333.8540       29908.00       .7126147    
   333.9810       29777.00       .7100827    
   334.1080       29994.00       .7169514    
   334.2350       29493.00       .7043976    
