*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H4S3N2
* Name: 1,3,5,2,4-benzotrithiadiazepine
* Edge: N 1s
* Alpha Formula: C6H4N2S3
* Data Source: Hitchcock
* Filename:  bv-0nnkk.os
* Ref. Code: HD&91
* Write Date: 93/06/10
* Reference: J. El. Spec. 57 (91) 165.
* Source and Purity: Oakley, U. Guelph
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 3    name1- 0bncs    name2- 0bncs-n.     name3- 0bnc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  4.071690E+02,  1.148938E+04,  1.137698E+04,  6.830674E-01,
  4.073080E+02,  1.147063E+04,  1.136335E+04,  6.828088E-01,
  4.074480E+02,  1.134064E+04,  1.124621E+04,  6.493221E-01,
  4.075880E+02,  1.103704E+04,  1.095784E+04,  5.608266E-01,
  4.077280E+02,  1.119492E+04,  1.112694E+04,  6.192801E-01,
  4.078680E+02,  1.117295E+04,  1.110833E+04,  6.174328E-01,
  4.080080E+02,  1.115186E+04,  1.108267E+04,  6.133153E-01,
  4.081470E+02,  1.126727E+04,  1.118808E+04,  6.512694E-01,
  4.082870E+02,  1.125940E+04,  1.116829E+04,  6.490256E-01,
  4.084270E+02,  1.112399E+04,  1.102263E+04,  6.063480E-01,
  4.085670E+02,  1.099939E+04,  1.089151E+04,  5.683355E-01,
  4.087070E+02,  1.087469E+04,  1.076404E+04,  5.314929E-01,
  4.088460E+02,  1.101137E+04,  1.090008E+04,  5.792604E-01,
  4.089860E+02,  1.115622E+04,  1.104442E+04,  6.297247E-01,
  4.091260E+02,  1.107953E+04,  1.096617E+04,  6.086786E-01,
  4.092660E+02,  1.108010E+04,  1.096399E+04,  6.120625E-01,
  4.094060E+02,  1.102004E+04,  1.090087E+04,  5.958669E-01,
  4.095460E+02,  1.120779E+04,  1.108636E+04,  6.595289E-01,
  4.096850E+02,  1.108361E+04,  1.096088E+04,  6.232670E-01,
  4.098250E+02,  1.093835E+04,  1.081463E+04,  5.803542E-01,
  4.099650E+02,  1.093767E+04,  1.081297E+04,  5.838827E-01,
  4.101050E+02,  1.097973E+04,  1.085436E+04,  6.012408E-01,
  4.102450E+02,  1.089396E+04,  1.076855E+04,  5.777288E-01,
  4.103850E+02,  1.076708E+04,  1.064208E+04,  5.411536E-01,
  4.105240E+02,  1.073489E+04,  1.061051E+04,  5.350323E-01,
  4.106640E+02,  1.087893E+04,  1.075532E+04,  5.855904E-01,
  4.108040E+02,  1.082214E+04,  1.069925E+04,  5.716184E-01,
  4.109440E+02,  1.075549E+04,  1.063297E+04,  5.543612E-01,
