*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H5CN
* Name: Benzonitrile
* Edge: C 1s
* Alpha Formula: C7H5N
* Data Source: Hitchcock
* Filename:  bq-0cckk.os
* Ref. Code: H92a
* Write Date: 93/06/10
* Reference: Hitchcock (unpublished)
* Source and Purity: Aldrich (99.9%)
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.55 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0bqc.     name2- 0bqc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  2.910109E+02   1.687085E+04   7.887781E-01 
  2.910714E+02   1.640823E+04   7.647276E-01 
  2.911318E+02   1.657762E+04   7.742888E-01 
  2.911923E+02   1.620977E+04   7.552463E-01 
  2.912527E+02   1.620911E+04   7.557495E-01 
  2.913132E+02   1.615085E+04   7.531818E-01 
  2.913737E+02   1.635633E+04   7.646837E-01 
  2.914341E+02   1.618828E+04   7.562545E-01 
  2.914946E+02   1.609660E+04   7.518946E-01 
  2.915550E+02   1.635476E+04   7.662328E-01 
  2.916155E+02   1.656479E+04   7.780135E-01 
  2.916759E+02   1.672111E+04   7.869332E-01 
  2.917364E+02   1.700311E+04   8.025950E-01 
  2.917968E+02   1.738642E+04   8.237059E-01 
  2.918573E+02   1.780770E+04   8.468790E-01 
  2.919178E+02   1.814993E+04   8.658381E-01 
  2.919782E+02   1.857479E+04   8.892575E-01 
  2.920387E+02   1.876788E+04   9.002519E-01 
  2.920991E+02   1.918148E+04   9.231156E-01 
  2.921596E+02   1.946657E+04   9.390933E-01 
  2.922200E+02   1.984466E+04   9.600969E-01 
  2.922805E+02   2.011822E+04   9.754955E-01 
  2.923409E+02   2.046794E+04   9.950167E-01 
  2.924014E+02   2.072888E+04   1.009775E+00 
  2.924619E+02   2.121672E+04   1.036794E+00 
  2.925223E+02   2.137520E+04   1.046063E+00 
  2.925828E+02   2.161511E+04   1.059741E+00 
  2.926432E+02   2.209872E+04   1.086611E+00 
  2.927037E+02   2.236849E+04   1.101946E+00 
  2.927641E+02   2.260792E+04   1.115658E+00 
  2.928246E+02   2.318386E+04   1.147611E+00 
  2.928850E+02   2.319113E+04   1.148784E+00 
  2.929455E+02   2.370116E+04   1.177223E+00 
  2.930060E+02   2.399584E+04   1.194011E+00 
  2.930664E+02   2.422032E+04   1.207007E+00 
  2.931269E+02   2.466893E+04   1.232195E+00 
  2.931873E+02   2.506313E+04   1.254456E+00 
  2.932478E+02   2.515910E+04   1.260521E+00 
  2.933082E+02   2.544254E+04   1.276796E+00 
  2.933687E+02   2.549624E+04   1.280578E+00 
  2.934291E+02   2.566360E+04   1.290560E+00 
  2.934896E+02   2.535737E+04   1.274726E+00 
  2.935500E+02   2.544259E+04   1.280232E+00 
  2.936105E+02   2.551920E+04   1.285273E+00 
  2.936710E+02   2.567599E+04   1.294702E+00 
  2.937314E+02   2.514164E+04   1.266357E+00 
  2.937919E+02   2.501666E+04   1.260371E+00 
  2.938523E+02   2.484112E+04   1.251609E+00 
  2.939128E+02   2.480342E+04   1.250384E+00 
  2.939732E+02   2.446055E+04   1.232434E+00 
  2.940337E+02   2.434313E+04   1.226823E+00 
  2.940941E+02   2.397738E+04   1.207579E+00 
  2.941546E+02   2.379857E+04   1.198575E+00 
  2.942151E+02   2.361495E+04   1.189294E+00 
  2.942755E+02   2.330132E+04   1.172854E+00 
  2.943360E+02   2.309714E+04   1.162414E+00 
  2.943964E+02   2.292191E+04   1.153554E+00 
  2.944569E+02   2.251550E+04   1.131950E+00 
  2.945173E+02   2.223198E+04   1.117092E+00 
  2.945778E+02   2.220397E+04   1.116303E+00 
  2.946382E+02   2.189808E+04   1.100181E+00 
  2.946987E+02   2.175051E+04   1.092779E+00 
  2.947592E+02   2.181724E+04   1.097206E+00 
  2.948196E+02   2.158655E+04   1.085198E+00 
  2.948801E+02   2.151318E+04   1.081875E+00 
  2.949405E+02   2.145484E+04   1.079380E+00 
  2.950010E+02   2.123323E+04   1.067839E+00 
  2.950614E+02   2.111276E+04   1.061888E+00 
  2.951219E+02   2.103878E+04   1.058507E+00 
  2.951823E+02   2.093918E+04   1.053699E+00 
  2.952428E+02   2.106586E+04   1.061448E+00 
  2.953033E+02   2.086885E+04   1.051224E+00 
  2.953637E+02   2.088086E+04   1.052606E+00 
  2.954242E+02   2.116237E+04   1.068978E+00 
  2.954846E+02   2.092409E+04   1.056441E+00 
  2.955451E+02   2.075084E+04   1.047510E+00 
  2.956055E+02   2.079355E+04   1.050601E+00 
  2.956660E+02   2.085062E+04   1.054496E+00 
  2.957264E+02   2.076152E+04   1.050240E+00 
  2.958018E+02   2.076400E+04   1.051267E+00 
  2.959293E+02   2.080000E+04   1.054782E+00 
  2.960567E+02   2.099800E+04   1.067372E+00 
  2.961841E+02   2.092900E+04   1.065027E+00 
  2.963115E+02   2.094900E+04   1.067668E+00 
  2.964389E+02   2.106900E+04   1.075933E+00 
  2.965663E+02   2.098400E+04   1.072682E+00 
  2.966937E+02   2.105000E+04   1.077928E+00 
  2.968211E+02   2.106900E+04   1.080533E+00 
  2.969485E+02   2.098900E+04   1.077550E+00 
  2.970760E+02   2.129200E+04   1.096218E+00 
  2.972034E+02   2.128900E+04   1.097603E+00 
  2.973308E+02   2.172000E+04   1.123599E+00 
  2.974582E+02   2.128300E+04   1.100376E+00 
  2.975856E+02   2.149400E+04   1.113930E+00 
  2.977130E+02   2.157300E+04   1.120003E+00 
  2.978404E+02   2.146100E+04   1.115202E+00 
  2.979678E+02   2.163400E+04   1.126651E+00 
  2.980952E+02   2.184000E+04   1.140012E+00 
  2.982227E+02   2.129000E+04   1.110150E+00 
  2.983501E+02   2.151500E+04   1.124608E+00 
  2.984775E+02   2.156600E+04   1.129119E+00 
  2.986049E+02   2.137400E+04   1.119682E+00 
  2.987323E+02   2.128600E+04   1.116199E+00 
  2.988597E+02   2.098000E+04   1.100151E+00 
  2.989871E+02   2.127100E+04   1.118482E+00 
  2.991145E+02   2.132500E+04   1.123174E+00 
  2.992419E+02   2.110500E+04   1.112037E+00 
  2.993694E+02   2.103200E+04   1.109377E+00 
  2.994968E+02   2.113500E+04   1.116908E+00 
  2.996242E+02   2.079600E+04   1.098807E+00 
  2.997516E+02   2.087300E+04   1.104827E+00 
  2.998790E+02   2.099400E+04   1.113420E+00 
  3.000064E+02   2.054800E+04   1.089005E+00 
  3.001338E+02   2.061300E+04   1.094329E+00 
  3.002612E+02   2.038500E+04   1.082552E+00 
