# XDI/1.0 Athena/0.9.24
# Element.edge:                  L3
# Element.symbol:                Sc
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     399.5223
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              5289.7061253
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -6.740 -1.903
# Athena.pre_edge_line:          36409.214605 - 70.5725 * E
# Athena.normalization_range:    24.560 35.552
# Athena.post_edge_polynomial:   61063.567509 - 119.042 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 36.520
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 3.096
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                1.096 3.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        flat        fbkg        nder        nsec
  422.43870       0.84955125        1.0595339       -1.0370892      -0.15038652       -1.4859967
  422.55100       0.80189176        1.0129034       -1.0345619      -0.11387573        1.5289054
  422.66340       0.82396338        1.0360049       -1.0320324       0.19315854       0.32043402
  422.77570       0.84529448        1.0583651       -1.0295052      -0.41874209E-01   -1.3614456
  422.88800       0.81455843        1.0286580       -1.0269779      -0.11262215      -0.48641565
  423.00040       0.81998829        1.0351178       -1.0244484      -0.15117181       0.16217243
  423.11270       0.78059012       0.99674862       -1.0219212      -0.76182010E-01   0.65043725
  423.22500       0.80287781        1.0200653       -1.0193939      -0.50835994E-02  -0.20736526
  423.33740       0.77944784       0.99766526       -1.0168644      -0.12277698       0.14684004
  423.44970       0.77528982       0.99453624       -1.0143372       0.27911359E-01   0.34065172
  423.56200       0.78571673        1.0059922       -1.0118099      -0.46266609E-01  -0.81855458
  423.67440       0.76489371       0.98619906       -1.0092804      -0.15601786       0.74786226
  423.78670       0.75065952       0.97299387       -1.0067532       0.12177804        1.0807657
  423.89900       0.79224506        1.0156084       -1.0042259       0.86722120E-01  -0.56566811
  424.01140       0.77014598       0.99453925       -1.0016964      -0.53275845E-02   0.58511054
  424.12370       0.79104795        1.0164702      -0.99916916       0.21819646       0.42223661
  424.23610       0.81917472        1.0456269      -0.99663965       0.89548983E-01   -2.0864323
  424.34840       0.81116961        1.0386508      -0.99411240      -0.25062489       -1.8751203
  424.46070       0.76288437       0.99139457      -0.99158515      -0.33160303        1.0045750
  424.57310       0.73665841       0.96619853      -0.98905565      -0.24896876E-01    2.6393860
  424.68540       0.75729004       0.98785917      -0.98652840       0.26146701       0.97543113E-01
  424.79770       0.79538390        1.0269820      -0.98400114      -0.29886925E-02   -1.5458467
  424.91010       0.75661848       0.98924653      -0.98147164      -0.85884748E-01   0.14407223
  425.02240       0.77608560        1.0097426      -0.97894439       0.29384338E-01  -0.12597446
  425.13470       0.76321821       0.99790426      -0.97641714      -0.11417861       0.10619198
