*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: (C2H5)2O
* Name: Diethylether
* Edge: C 1s
* Alpha Formula: C4H10O
* Data Source: Hitchcock
* Filename:  de-0cckk.os
* Ref. Code: UH&95b
* Write Date: 98/08/07
* Reference: J. Pol. Sci. B. Pol. Phys. 33 (1995) 1603.
* Source and Purity: Aldrich
* Acquisition Mode: EELS, 2 deg, 2500eV CRE mode, 0.7eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2	name1- 0decs2	name2- 0dec.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  3.109088E+02,  1.160566E+04,  8.999843E-01,
  3.110534E+02,  1.171014E+04,  9.141539E-01,
  3.111981E+02,  1.161919E+04,  9.040067E-01,
  3.113427E+02,  1.167131E+04,  9.116718E-01,
  3.114873E+02,  1.171858E+04,  9.187436E-01,
  3.116319E+02,  1.160809E+04,  9.061359E-01,
  3.117766E+02,  1.171646E+04,  9.208410E-01,
  3.119212E+02,  1.149713E+04,  8.946159E-01,
  3.120658E+02,  1.135625E+04,  8.781617E-01,
  3.122104E+02,  1.126125E+04,  8.674269E-01,
  3.123550E+02,  1.140029E+04,  8.859829E-01,
  3.124997E+02,  1.165245E+04,  9.187413E-01,
  3.126443E+02,  1.139855E+04,  8.880820E-01,
  3.127889E+02,  1.133066E+04,  8.807221E-01,
  3.129335E+02,  1.142386E+04,  8.935810E-01,
  3.130782E+02,  1.116279E+04,  8.619360E-01,
  3.132228E+02,  1.129754E+04,  8.800222E-01,
  3.133674E+02,  1.138421E+04,  8.920830E-01,
  3.135120E+02,  1.121746E+04,  8.722470E-01,
  3.136566E+02,  1.120552E+04,  8.718904E-01,
  3.138013E+02,  1.136426E+04,  8.930562E-01,
  3.139459E+02,  1.112896E+04,  8.645265E-01,
  3.140905E+02,  1.119102E+04,  8.735061E-01,
  3.142351E+02,  1.120925E+04,  8.769589E-01,
  3.143798E+02,  1.112020E+04,  8.668485E-01,
  3.145244E+02,  1.103325E+04,  8.569907E-01,
  3.146690E+02,  1.091051E+04,  8.425846E-01,
  3.148136E+02,  1.080355E+04,  8.301578E-01,
  3.149583E+02,  1.086671E+04,  8.392851E-01,
  3.151029E+02,  1.091902E+04,  8.470488E-01,
  3.152475E+02,  1.091900E+04,  8.481772E-01,
  3.153921E+02,  1.089922E+04,  8.467939E-01,
  3.155367E+02,  1.089071E+04,  8.468418E-01,
  3.156814E+02,  1.095627E+04,  8.563144E-01,
  3.158260E+02,  1.094141E+04,  8.555596E-01,
  3.159706E+02,  1.095679E+04,  8.586547E-01,
  3.161152E+02,  1.099095E+04,  8.641491E-01,
  3.162599E+02,  1.086990E+04,  8.498439E-01,
  3.164045E+02,  1.089097E+04,  8.536671E-01,
  3.165491E+02,  1.090096E+04,  8.560776E-01,
  3.166937E+02,  1.067161E+04,  8.278869E-01,
  3.168383E+02,  1.073539E+04,  8.371643E-01,
  3.169830E+02,  1.074597E+04,  8.396414E-01,
  3.171276E+02,  1.037564E+04,  7.933140E-01,
  3.172722E+02,  1.043064E+04,  8.014584E-01,
  3.174168E+02,  1.050902E+04,  8.126136E-01,
  3.175615E+02,  1.055327E+04,  8.194002E-01,
  3.177061E+02,  1.069103E+04,  8.382117E-01,
  3.178507E+02,  1.068470E+04,  8.385206E-01,
  3.179953E+02,  1.056521E+04,  8.242687E-01,
  3.181400E+02,  1.055846E+04,  8.245136E-01,
  3.182846E+02,  1.046838E+04,  8.140199E-01,
  3.184292E+02,  1.038654E+04,  8.045739E-01,
  3.185738E+02,  1.011576E+04,  7.707373E-01,
  3.187184E+02,  1.054496E+04,  8.272278E-01,
  3.188631E+02,  1.050817E+04,  8.235888E-01,
  3.190077E+02,  1.054007E+04,  8.288263E-01,
  3.191523E+02,  1.032778E+04,  8.024760E-01,
  3.192969E+02,  1.033850E+04,  8.049617E-01,
  3.194416E+02,  1.038018E+04,  8.114604E-01,
  3.195862E+02,  1.016133E+04,  7.841916E-01,
  3.197308E+02,  1.010649E+04,  7.781615E-01,
  3.198754E+02,  1.010676E+04,  7.792767E-01,
  3.200201E+02,  1.001528E+04,  7.684743E-01,
  3.201647E+02,  1.008734E+04,  7.789155E-01,
  3.203093E+02,  1.004110E+04,  7.739805E-01,
  3.204539E+02,  1.027801E+04,  8.058988E-01,
  3.205985E+02,  1.034105E+04,  8.152092E-01,
  3.207432E+02,  1.027569E+04,  8.077943E-01,
  3.208878E+02,  1.020170E+04,  7.992433E-01,
  3.210324E+02,  1.025013E+04,  8.066586E-01,
  3.211770E+02,  1.008986E+04,  7.868232E-01,
  3.213217E+02,  9.986002E+03,  7.743323E-01,
  3.214663E+02,  9.995979E+03,  7.767140E-01,
  3.216109E+02,  9.912829E+03,  7.669085E-01,
  3.217555E+02,  9.887257E+03,  7.646304E-01,
  3.219001E+02,  1.000451E+04,  7.810693E-01,
  3.220448E+02,  9.906407E+03,  7.692823E-01,
  3.221894E+02,  9.801083E+03,  7.565310E-01,
  3.223340E+02,  9.982914E+03,  7.814766E-01,
  3.224786E+02,  9.786164E+03,  7.566986E-01,
  3.226233E+02,  9.730354E+03,  7.504222E-01,
  3.227679E+02,  9.847737E+03,  7.669303E-01,
  3.229125E+02,  1.010774E+04,  8.022429E-01,
  3.230571E+02,  9.965963E+03,  7.846526E-01,
  3.232018E+02,  9.846249E+03,  7.699472E-01,
  3.233464E+02,  9.854795E+03,  7.721471E-01,
  3.234910E+02,  9.705771E+03,  7.535411E-01,
  3.236356E+02,  9.730501E+03,  7.578697E-01,
  3.237802E+02,  9.921473E+03,  7.841865E-01,
  3.239249E+02,  9.851095E+03,  7.759550E-01,
  3.240695E+02,  9.853945E+03,  7.774079E-01,
  3.242141E+02,  9.853281E+03,  7.783962E-01,
  3.243587E+02,  9.481893E+03,  7.302288E-01,
  3.245034E+02,  9.588444E+03,  7.454109E-01,
  3.246480E+02,  9.772098E+03,  7.708496E-01,
  3.247926E+02,  9.841873E+03,  7.811914E-01,
  3.249372E+02,  9.655514E+03,  7.574924E-01,
  3.250818E+02,  9.563299E+03,  7.462856E-01,
  3.252265E+02,  9.589306E+03,  7.508023E-01,
  3.253711E+02,  9.518055E+03,  7.423671E-01,
  3.255157E+02,  9.491538E+03,  7.398833E-01,
  3.256603E+02,  9.369248E+03,  7.246189E-01,
  3.258050E+02,  9.567723E+03,  7.521532E-01,
  3.259496E+02,  9.632667E+03,  7.618861E-01,
  3.260942E+02,  9.508196E+03,  7.463114E-01,
  3.262388E+02,  9.486322E+03,  7.444386E-01,
  3.263835E+02,  9.583730E+03,  7.585288E-01,
  3.265281E+02,  9.506851E+03,  7.492923E-01,
  3.266727E+02,  9.324747E+03,  7.259388E-01,
  3.268173E+02,  9.288617E+03,  7.221317E-01,
  3.269619E+02,  9.434068E+03,  7.426896E-01,
  3.271066E+02,  9.234811E+03,  7.169778E-01,
  3.272512E+02,  9.103747E+03,  7.003958E-01,
  3.273958E+02,  9.415142E+03,  7.432952E-01,
  3.275404E+02,  9.391744E+03,  7.411961E-01,
  3.276851E+02,  9.267250E+03,  7.254789E-01,
  3.278297E+02,  9.334886E+03,  7.356308E-01,
  3.279743E+02,  9.235963E+03,  7.233351E-01,
  3.281189E+02,  9.203479E+03,  7.199874E-01,
  3.282635E+02,  9.091421E+03,  7.058895E-01,
  3.284082E+02,  9.351946E+03,  7.421151E-01,
  3.285528E+02,  9.211938E+03,  7.242324E-01,
  3.286974E+02,  9.122946E+03,  7.132271E-01,
  3.288420E+02,  9.329812E+03,  7.422628E-01,
  3.289867E+02,  8.961962E+03,  6.934732E-01,
  3.291313E+02,  9.047866E+03,  7.061337E-01,
  3.292759E+02,  9.049412E+03,  7.073662E-01,
  3.294205E+02,  9.405046E+03,  7.566682E-01,
  3.295652E+02,  9.114305E+03,  7.182288E-01,
  3.297098E+02,  9.264724E+03,  7.397060E-01,
  3.298544E+02,  9.048198E+03,  7.112975E-01,
  3.299990E+02,  8.992407E+03,  7.047287E-01,
  3.301436E+02,  8.981764E+03,  7.042995E-01,
  3.302883E+02,  8.906002E+03,  6.949936E-01,
  3.304329E+02,  8.894449E+03,  6.944317E-01,
  3.305775E+02,  8.940126E+03,  7.016789E-01,
  3.307221E+02,  9.023714E+03,  7.141125E-01,
  3.308668E+02,  8.629577E+03,  6.612750E-01,
  3.310114E+02,  8.839315E+03,  6.909479E-01,
  3.311560E+02,  9.036002E+03,  7.188734E-01,
  3.313006E+02,  8.987753E+03,  7.132950E-01,
  3.314453E+02,  9.001423E+03,  7.161928E-01,
  3.315899E+02,  8.798796E+03,  6.894357E-01,
  3.317345E+02,  8.733114E+03,  6.814319E-01,
  3.318791E+02,  8.746590E+03,  6.842851E-01,
  3.320237E+02,  8.945619E+03,  7.126343E-01,
  3.321684E+02,  8.913315E+03,  7.092164E-01,
  3.323130E+02,  8.864618E+03,  7.035378E-01,
  3.324576E+02,  8.814068E+03,  6.975956E-01,
  3.326022E+02,  8.736634E+03,  6.879412E-01,
  3.327469E+02,  8.728149E+03,  6.877778E-01,
  3.328915E+02,  8.733706E+03,  6.895500E-01,
  3.330361E+02,  8.669593E+03,  6.817071E-01,
  3.331807E+02,  8.669459E+03,  6.826899E-01,
  3.333253E+02,  8.935700E+03,  7.204892E-01,
  3.334700E+02,  8.819428E+03,  7.054350E-01,
  3.336146E+02,  8.702995E+03,  6.903378E-01,
  3.337592E+02,  8.728991E+03,  6.949441E-01,
  3.339038E+02,  8.905837E+03,  7.204598E-01,
  3.340485E+02,  8.603516E+03,  6.795631E-01,
  3.341931E+02,  8.622906E+03,  6.832521E-01,
  3.343377E+02,  8.637022E+03,  6.862128E-01,
  3.344823E+02,  8.386688E+03,  6.524328E-01,
  3.346270E+02,  8.619387E+03,  6.857661E-01,
  3.347716E+02,  8.962436E+03,  7.344949E-01,
  3.349162E+02,  8.738031E+03,  7.042874E-01,
  3.350608E+02,  8.855120E+03,  7.216123E-01,
  3.352054E+02,  8.675451E+03,  6.975909E-01,
  3.353501E+02,  8.674587E+03,  6.984789E-01,
  3.354947E+02,  8.595674E+03,  6.884727E-01,
  3.356393E+02,  8.520966E+03,  6.790398E-01,
  3.357839E+02,  8.522329E+03,  6.802261E-01,
  3.359286E+02,  8.451275E+03,  6.712849E-01,
  3.360732E+02,  8.254969E+03,  6.448016E-01,
  3.362178E+02,  8.472136E+03,  6.761870E-01,
  3.363624E+02,  8.356532E+03,  6.609797E-01,
  3.365070E+02,  8.376870E+03,  6.648144E-01,
  3.366517E+02,  8.435222E+03,  6.739874E-01,
  3.367963E+02,  8.447582E+03,  6.767138E-01,
  3.369409E+02,  8.571870E+03,  6.951689E-01,
  3.370855E+02,  8.377974E+03,  6.689123E-01,
  3.372302E+02,  8.382872E+03,  6.705883E-01,
  3.373748E+02,  8.458261E+03,  6.821890E-01,
  3.375194E+02,  8.449594E+03,  6.819633E-01,
  3.376640E+02,  8.269794E+03,  6.576127E-01,
  3.378087E+02,  8.285878E+03,  6.608598E-01,
  3.379533E+02,  8.509672E+03,  6.934284E-01,
  3.380979E+02,  8.341060E+03,  6.706150E-01,
  3.382425E+02,  8.327711E+03,  6.697146E-01,
  3.383871E+02,  8.202051E+03,  6.529288E-01,
  3.385318E+02,  8.209190E+03,  6.549132E-01,
  3.386764E+02,  8.190375E+03,  6.532241E-01,
